time,seconds_elapsed,dBFS
1717498747672000000,17.486,-31.078292846679688
1717498747784000000,17.598,-34.4304084777832
1717498747884000000,17.698,-38.38972473144531
1717498747984000000,17.798,-41.59134292602539
1717498748085000000,17.899,-43.96405029296875
1717498748184000000,17.998,-44.3319206237793
1717498748285000000,18.099,-42.708194732666016
1717498748385000000,18.199,-44.98115539550781
1717498748485000000,18.299,-47.031044006347656
1717498748585000000,18.399,-44.837257385253906
1717498748685000000,18.499,-44.62074661254883
1717498748785000000,18.599,-20.910829544067383
1717498748885000000,18.699,-25.826997756958008
1717498748985000000,18.799,-30.571643829345703
1717498749085000000,18.899,-34.08761978149414
1717498749185000000,18.999,-37.871116638183594
1717498749285000000,19.099,-41.49063491821289
1717498749385000000,19.199,-44.24379348754883
1717498749485000000,19.299,-44.373226165771484
1717498749585000000,19.399,-44.68826675415039
1717498749685000000,19.499,-42.52892303466797
1717498749785000000,19.599,-25.78750228881836
1717498749885000000,19.699,-29.505029678344727
1717498750002000000,19.815999755859377,-33.94612503051758
1717498750102000000,19.916000244140626,-37.69928741455078
1717498750202000000,20.015999755859376,-41.355918884277344
1717498750302000000,20.116000244140626,-43.566802978515625
1717498750402000000,20.215999755859375,-45.808570861816406
1717498750502000000,20.316000244140625,-42.15823745727539
1717498750602000000,20.415999755859374,-44.70972442626953
1717498750702000000,20.516000244140624,-46.715858459472656
1717498750802000000,20.615999755859374,-44.15571212768555
1717498750902000000,20.716000244140623,-24.247220993041992
1717498751002000000,20.815999755859377,-28.08942413330078
1717498751102000000,20.916000244140626,-32.32352066040039
1717498751202000000,21.015999755859376,-36.4296875
1717498751302000000,21.116000244140626,-39.66664123535156
1717498751402000000,21.215999755859375,-43.04462432861328
1717498751519000000,21.333,-45.70982360839844
1717498751619000000,21.433,-47.84492111206055
1717498751719000000,21.533,-49.490787506103516
1717498751819000000,21.633,-49.984275817871094
1717498751919000000,21.733,-49.851806640625
1717498752019000000,21.833,-28.990455627441406
1717498752119000000,21.933,-33.380794525146484
1717498752219000000,22.033,-36.79524612426758
1717498752319000000,22.133,-40.41130447387695
1717498752419000000,22.233,-43.898193359375
1717498752519000000,22.333,-45.88497543334961
1717498752619000000,22.433,-45.70669937133789
1717498752719000000,22.533,-46.74345016479492
1717498752819000000,22.633,-48.58051300048828
1717498752919000000,22.733,-49.12461471557617
1717498753019000000,22.833,-18.279573440551758
1717498753119000000,22.933,-22.82425308227539
1717498753219000000,23.033,-26.486907958984375
1717498753319000000,23.133,-31.040403366088867
1717498753419000000,23.233,-35.48564529418945
1717498753519000000,23.333,-38.761756896972656
1717498753619000000,23.433,-41.82666015625
1717498753719000000,23.533,-41.69791793823242
1717498753819000000,23.633,-44.084320068359375
1717498753919000000,23.733,-43.913028717041016
1717498754036000000,23.85,-17.449813842773438
1717498754136000000,23.95,-21.769474029541016
1717498754236000000,24.05,-26.60579490661621
1717498754336000000,24.15,-30.96346664428711
1717498754436000000,24.25,-34.651981353759766
1717498754536000000,24.35,-38.50993728637695
1717498754636000000,24.45,-42.13971710205078
1717498754736000000,24.55,-44.08226013183594
1717498754836000000,24.65,-47.200416564941406
1717498754936000000,24.75,-49.33491134643555
1717498755036000000,24.85,-31.23805046081543
1717498755136000000,24.95,-35.107200622558594
1717498755236000000,25.05,-38.74311828613281
1717498755336000000,25.15,-41.924896240234375
1717498755436000000,25.25,-45.12331008911133
1717498755536000000,25.35,-45.20751190185547
1717498755636000000,25.45,-46.75770568847656
1717498755736000000,25.55,-46.801780700683594
1717498755853000000,25.667,-47.37380599975586
1717498755953000000,25.767,-22.913545608520508
1717498756053000000,25.867,-27.411890029907227
1717498756153000000,25.967,-31.6796817779541
1717498756253000000,26.067,-34.76827621459961
1717498756353000000,26.167,-38.692176818847656
1717498756453000000,26.267,-41.096702575683594
1717498756553000000,26.367,-43.930850982666016
1717498756653000000,26.467,-46.62084197998047
1717498756753000000,26.567,-48.83983612060547
1717498756853000000,26.667,-42.527931213378906
1717498756953000000,26.767,-45.03870391845703
1717498757053000000,26.867,-29.171329498291016
1717498757153000000,26.967,-33.65789794921875
1717498757253000000,27.067,-36.633827209472656
1717498757353000000,27.167,-40.37235641479492
1717498757453000000,27.267,-43.89924240112305
1717498757553000000,27.367,-45.99906921386719
1717498757653000000,27.467,-48.366519927978516
1717498757770000000,27.583999755859374,-44.80378341674805
1717498757870000000,27.684000244140623,-47.188133239746094
1717498757970000000,27.783999755859377,-49.023406982421875
1717498758070000000,27.884000244140626,-46.34896469116211
1717498758170000000,27.983999755859376,-37.35276794433594
1717498758270000000,28.084000244140626,-40.7943229675293
1717498758370000000,28.183999755859375,-43.05911636352539
1717498758470000000,28.284000244140625,-45.13425827026367
1717498758570000000,28.383999755859374,-45.755409240722656
1717498758670000000,28.484000244140624,-46.678775787353516
1717498758770000000,28.583999755859374,-46.351837158203125
1717498758870000000,28.684000244140623,-47.93719482421875
1717498758970000000,28.783999755859377,-50.56601333618164
1717498759070000000,28.884000244140626,-50.99887466430664
1717498759170000000,28.983999755859376,-31.638612747192383
1717498759270000000,29.084000244140626,-35.497276306152344
1717498759370000000,29.183999755859375,-39.28031539916992
1717498759470000000,29.284000244140625,-41.67741775512695
1717498759570000000,29.383999755859374,-44.334991455078125
1717498759670000000,29.484000244140624,-46.54011535644531
1717498759770000000,29.583999755859374,-48.299461364746094
1717498759887000000,29.701,-50.91936492919922
1717498759987000000,29.801,-45.05268096923828
1717498760087000000,29.901,-46.388832092285156
1717498760187000000,30.001,-48.04785919189453
1717498760287000000,30.101,-36.58283615112305
1717498760387000000,30.201,-38.71120834350586
1717498760487000000,30.301,-41.48450469970703
1717498760587000000,30.401,-43.89275360107422
1717498760687000000,30.501,-42.64963912963867
1717498760787000000,30.601,-45.22331619262695
1717498760887000000,30.701,-47.53647994995117
1717498760987000000,30.801,-45.72547149658203
1717498761087000000,30.901,-45.34695053100586
1717498761187000000,31.001,-47.801490783691406
1717498761287000000,31.101,-47.14911651611328
1717498761387000000,31.201,-16.318702697753906
1717498761487000000,31.301,-21.18238639831543
1717498761587000000,31.401,-25.02034568786621
1717498761687000000,31.501,-29.560583114624023
1717498761787000000,31.601,-34.052818298339844
1717498761887000000,31.701,-38.15422058105469
1717498762004000000,31.818,-41.40213394165039
1717498762104000000,31.918,-44.61747360229492
1717498762204000000,32.018,-45.65817642211914
1717498762304000000,32.118,-47.89613723754883
1717498762404000000,32.218,-49.82697296142578
1717498762504000000,32.318,-27.849151611328125
1717498762604000000,32.418,-32.04631423950195
1717498762704000000,32.518,-35.64402389526367
1717498762804000000,32.618,-38.9671516418457
1717498762904000000,32.718,-42.259193420410156
1717498763004000000,32.818,-44.61463928222656
1717498763104000000,32.918,-47.023406982421875
1717498763204000000,33.018,-47.89542007446289
1717498763304000000,33.118,-43.90603256225586
1717498763404000000,33.218,-45.367454528808594
1717498763504000000,33.318,-43.36172866821289
1717498763604000000,33.418,-29.0067195892334
1717498763704000000,33.518,-33.44975280761719
1717498763821000000,33.635,-37.48820495605469
1717498763921000000,33.735,-40.482933044433594
1717498764021000000,33.835,-43.982032775878906
1717498764121000000,33.935,-44.345458984375
1717498764221000000,34.035,-44.94636535644531
1717498764321000000,34.135,-41.908905029296875
1717498764421000000,34.235,-43.63196563720703
1717498764521000000,34.335,-45.44854736328125
1717498764621000000,34.435,-35.58307647705078
1717498764721000000,34.535,-38.62753677368164
1717498764821000000,34.635,-40.860904693603516
1717498764921000000,34.735,-42.906883239746094
