time,seconds_elapsed,dBFS
1716735605599000000,41.197,-100
1716735605714000000,41.311999755859375,-104
1716735605830000000,41.42800024414063,-51
1716735605951000000,41.549,-92
1716735606065000000,41.663,-99
1716735606182000000,41.78000024414062,-100
1716735606301000000,41.899,-102
1716735606415000000,42.013,-99
1716735606532000000,42.13,-103
1716735606649000000,42.247,-96
1716735606765000000,42.363,-73
1716735606882000000,42.479999755859374,-73
1716735606999000000,42.597,-90
1716735607115000000,42.713,-92
1716735607233000000,42.831,-90
1716735607350000000,42.94800024414062,-87
1716735607468000000,43.066,-82
1716735607584000000,43.182,-82
1716735607701000000,43.299,-81
1716735607822000000,43.420000244140624,-64
1716735607933000000,43.531,-83
1716735608049000000,43.647,-90
1716735608166000000,43.764000244140625,-85
1716735608284000000,43.882,-88
1716735608403000000,44.001,-90
1716735608518000000,44.11600024414062,-95
1716735608635000000,44.233,-102
1716735608750000000,44.34800024414063,-97
1716735608867000000,44.465,-72
1716735608984000000,44.582,-91
1716735609102000000,44.700000244140625,-105
1716735609220000000,44.818,-102
1716735609335000000,44.933,-101
1716735609451000000,45.049,-99
1716735609570000000,45.16799975585938,-104
1716735609686000000,45.28400024414063,-105
1716735609804000000,45.402,-98
1716735609924000000,45.522,-93
1716735610036000000,45.634,-67
1716735610153000000,45.751,-100
1716735610268000000,45.866,-105
1716735610387000000,45.985,-102
1716735610502000000,46.100000244140624,-105
1716735610620000000,46.218,-104
1716735610735000000,46.333,-98
1716735610852000000,46.45,-104
1716735610970000000,46.567999755859375,-75
1716735611086000000,46.68400024414063,-55
1716735611205000000,46.803,-99
1716735611324000000,46.922,-101
1716735611438000000,47.036000244140624,-106
1716735611553000000,47.151,-104
1716735611670000000,47.26800024414062,-104
1716735611787000000,47.385,-102
1716735611903000000,47.501,-105
1716735612022000000,47.62000024414063,-56
1716735612141000000,47.739,-92
1716735612255000000,47.853,-103
1716735612371000000,47.969,-103
1716735612488000000,48.086,-102
1716735612605000000,48.203,-102
1716735612722000000,48.31999975585938,-105
1716735612838000000,48.43600024414062,-105
1716735612955000000,48.553,-105
1716735613070000000,48.66800024414062,-96
1716735613188000000,48.786,-94
1716735613306000000,48.903999755859374,-100
1716735613423000000,49.021,-104
1716735613540000000,49.138,-105
1716735613656000000,49.254,-107
1716735613772000000,49.37,-101
1716735613889000000,49.487,-102
1716735614006000000,49.60400024414062,-101
1716735614123000000,49.721,-64
1716735614242000000,49.839999755859374,-97
1716735614360000000,49.958,-104
1716735614473000000,50.071,-99
1716735614591000000,50.189,-97
1716735614708000000,50.306,-101
1716735614824000000,50.422,-101
1716735614942000000,50.54000024414062,-102
1716735615060000000,50.658,-103
1716735615173000000,50.771,-107
1716735615290000000,50.887999755859376,-67
1716735615407000000,51.005,-100
1716735615524000000,51.122,-105
1716735615646000000,51.24400024414062,-103
1716735615759000000,51.357,-103
1716735615874000000,51.47199975585937,-105
1716735615991000000,51.589,-106
1716735616107000000,51.705,-99
1716735616224000000,51.822,-59
1716735616342000000,51.94000024414063,-82
1716735616465000000,52.063,-104
1716735616575000000,52.173,-100
1716735616691000000,52.289,-103
1716735616810000000,52.40799975585937,-101
1716735616925000000,52.523,-103
1716735617043000000,52.641,-104
1716735617160000000,52.758,-99
1716735617275000000,52.873,-73
1716735617391000000,52.989,-96
1716735617509000000,53.107,-106
1716735617624000000,53.222,-104
1716735617746000000,53.34399975585937,-100
1716735617864000000,53.462,-103
1716735617976000000,53.574,-105
1716735618094000000,53.69200024414062,-107
1716735618209000000,53.807,-105
1716735618325000000,53.923,-86
1716735618442000000,54.03999975585938,-104
1716735618561000000,54.159,-105
1716735618677000000,54.275,-101
1716735618793000000,54.391,-107
1716735618912000000,54.51,-105
1716735619026000000,54.62399975585937,-103
1716735619145000000,54.743,-80
1716735619262000000,54.86000024414062,-58
1716735619378000000,54.97599975585938,-102
1716735619493000000,55.091,-102
1716735619611000000,55.209,-101
1716735619729000000,55.327,-99
1716735619849000000,55.447,-103
1716735619962000000,55.55999975585937,-104
1716735620082000000,55.67999975585938,-103
1716735620196000000,55.794,-54
1716735620311000000,55.909,-89
1716735620428000000,56.026,-108
1716735620545000000,56.143,-102
1716735620662000000,56.26000024414063,-101
1716735620781000000,56.379,-105
1716735620899000000,56.497,-105
1716735621013000000,56.611,-105
1716735621129000000,56.727,-49
1716735621245000000,56.843,-79
1716735621364000000,56.962,-105
1716735621482000000,57.079999755859376,-106
1716735621596000000,57.194,-104
1716735621712000000,57.31,-102
1716735621830000000,57.42800024414063,-105
1716735621946000000,57.543999755859375,-102
1716735622063000000,57.661,-104
1716735622182000000,57.78000024414062,-53
1716735622300000000,57.898,-83
1716735622414000000,58.01200024414062,-104
1716735622530000000,58.12799975585938,-104
1716735622646000000,58.24400024414062,-103
1716735622764000000,58.362,-100
